REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Heard Island and McDonald Islands","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",38770
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Christmas Island","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",115125
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","South Georgia and South Sandwich Islands","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",119819
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Norfolk Island","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",244382
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Niue","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",275168
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Cocos Islands (or Keeling Islands)","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",369059
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Bouvet Island","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",372205
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Western Sahara","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",670952
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Pitcairn","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",874437
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Nauru","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",1234674
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","American Samoa","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",1563951
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Tonga","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",1753505
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Korea, Democratic People’s Republic of (North Korea)","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",1837389
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Micronesia, Federated States of","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",2309959
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Montserrat","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",2968221
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Tuvalu","TOTAL-Total","2-EXPORT","T-Total","202352-Jan.-Dec. 2023",3063771
