REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Armenia,Andorra,TOTAL,IMPORT,NORMAL,Y2019,1785.71
Armenia,Anguilla,TOTAL,IMPORT,NORMAL,Y2019,5089.29
Armenia,Antigua and Barbuda,TOTAL,IMPORT,NORMAL,Y2019,3303.57
Armenia,Argentina,TOTAL,IMPORT,NORMAL,Y2019,13111250.0
Armenia,Australia,TOTAL,IMPORT,NORMAL,Y2019,1553125.0
Armenia,Austria,TOTAL,IMPORT,NORMAL,Y2019,30789017.86
Armenia,Bahrain,TOTAL,IMPORT,NORMAL,Y2019,24821.43
Armenia,Bangladesh,TOTAL,IMPORT,NORMAL,Y2019,5670535.71
Armenia,Barbados,TOTAL,IMPORT,NORMAL,Y2019,16785.71
Armenia,Belarus,TOTAL,IMPORT,NORMAL,Y2019,45044821.43
Armenia,Belgium,TOTAL,IMPORT,NORMAL,Y2019,77425982.14
Armenia,Benin,TOTAL,IMPORT,NORMAL,Y2019,1339.29
Armenia,"Bonaire, Sint Eustatius and Saba",TOTAL,IMPORT,NORMAL,Y2019,12500.0
Armenia,Bosnia Herzegovina,TOTAL,IMPORT,NORMAL,Y2019,146696.43
Armenia,Botswana,TOTAL,IMPORT,NORMAL,Y2019,7767.86
Armenia,Brazil,TOTAL,IMPORT,NORMAL,Y2019,40085267.86
Armenia,Bulgaria,TOTAL,IMPORT,NORMAL,Y2019,31210982.14
Armenia,Cambodia,TOTAL,IMPORT,NORMAL,Y2019,89.29
Armenia,Cameroon,TOTAL,IMPORT,NORMAL,Y2019,32053.57
Armenia,Canada,TOTAL,IMPORT,NORMAL,Y2019,9157142.86
Armenia,Central African Republic,TOTAL,IMPORT,NORMAL,Y2019,27321.43
Armenia,Chile,TOTAL,IMPORT,NORMAL,Y2019,899196.43
Armenia,China,TOTAL,IMPORT,NORMAL,Y2019,413663214.29
Armenia,Colombia,TOTAL,IMPORT,NORMAL,Y2019,651785.71
Armenia,Costa Rica,TOTAL,IMPORT,NORMAL,Y2019,847767.86
Armenia,Cote d' Ivoire,TOTAL,IMPORT,NORMAL,Y2019,108750.0
Armenia,Croatia,TOTAL,IMPORT,NORMAL,Y2019,682321.43
Armenia,Cyprus,TOTAL,IMPORT,NORMAL,Y2019,15937857.14
Armenia,Czech Republic,TOTAL,IMPORT,NORMAL,Y2019,51323839.29
Armenia,Denmark,TOTAL,IMPORT,NORMAL,Y2019,8039821.43
Armenia,Dominican Republic,TOTAL,IMPORT,NORMAL,Y2019,44196.43
Armenia,Ecuador,TOTAL,IMPORT,NORMAL,Y2019,6624553.57
Armenia,Egypt,TOTAL,IMPORT,NORMAL,Y2019,3276785.71
Armenia,Estonia,TOTAL,IMPORT,NORMAL,Y2019,3170892.86
Armenia,Ethiopia,TOTAL,IMPORT,NORMAL,Y2019,223928.57
Armenia,European Union - 27 countries (from 2020),TOTAL,IMPORT,NORMAL,Y2019,997627946.43
Armenia,Finland,TOTAL,IMPORT,NORMAL,Y2019,17284821.43
Armenia,France,TOTAL,IMPORT,NORMAL,Y2019,58148571.43
Armenia,French Guiana,TOTAL,IMPORT,NORMAL,Y2019,5357.14
Armenia,Georgia,TOTAL,IMPORT,NORMAL,Y2019,433356160.71
Armenia,Germany,TOTAL,IMPORT,NORMAL,Y2019,213912053.57
Armenia,Ghana,TOTAL,IMPORT,NORMAL,Y2019,232946.43
Armenia,Gibraltar,TOTAL,IMPORT,NORMAL,Y2019,1250.0
Armenia,Greece,TOTAL,IMPORT,NORMAL,Y2019,15332857.14
Armenia,Guadeloupe,TOTAL,IMPORT,NORMAL,Y2019,982.14
Armenia,Guatemala,TOTAL,IMPORT,NORMAL,Y2019,107142.86
Armenia,Guernsey,TOTAL,IMPORT,NORMAL,Y2019,89.29
Armenia,Honduras,TOTAL,IMPORT,NORMAL,Y2019,745714.29
Armenia,Hong Kong,TOTAL,IMPORT,NORMAL,Y2019,63045178.57
Armenia,Hungary,TOTAL,IMPORT,NORMAL,Y2019,25457767.86
Armenia,Iceland,TOTAL,IMPORT,NORMAL,Y2019,1229910.71
Armenia,India,TOTAL,IMPORT,NORMAL,Y2019,54740357.14
Armenia,Indonesia,TOTAL,IMPORT,NORMAL,Y2019,19259196.43
Armenia,"Iran, Islamic Republic of",TOTAL,IMPORT,NORMAL,Y2019,290888839.29
Armenia,Iraq,TOTAL,IMPORT,NORMAL,Y2019,3291607.14
Armenia,Ireland,TOTAL,IMPORT,NORMAL,Y2019,1256071.43
Armenia,Israel,TOTAL,IMPORT,NORMAL,Y2019,8610357.14
Armenia,Italy,TOTAL,IMPORT,NORMAL,Y2019,162238035.71
Armenia,Jamaica,TOTAL,IMPORT,NORMAL,Y2019,446.43
Armenia,Japan,TOTAL,IMPORT,NORMAL,Y2019,58598750.0
Armenia,Jordan,TOTAL,IMPORT,NORMAL,Y2019,56517.86
Armenia,Kazakhstan,TOTAL,IMPORT,NORMAL,Y2019,4300892.86
Armenia,Kenya,TOTAL,IMPORT,NORMAL,Y2019,55357.14
Armenia,"Korea, DPR of",TOTAL,IMPORT,NORMAL,Y2019,364375.0
Armenia,"Korea, Republic of",TOTAL,IMPORT,NORMAL,Y2019,21243214.29
