REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Kazakhstan,Albania,TOTAL,IMPORT,NORMAL,Y2019,397957.62
Kazakhstan,Algeria,TOTAL,IMPORT,NORMAL,Y2019,87173.6
Kazakhstan,Argentina,TOTAL,IMPORT,NORMAL,Y2019,11784384.81
Kazakhstan,Armenia,TOTAL,IMPORT,NORMAL,Y2019,6322142.86
Kazakhstan,Australia,TOTAL,IMPORT,NORMAL,Y2019,58377404.7
Kazakhstan,Austria,TOTAL,IMPORT,NORMAL,Y2019,159167532.27
Kazakhstan,Azerbaijan,TOTAL,IMPORT,NORMAL,Y2019,18175538.17
Kazakhstan,Bangladesh,TOTAL,IMPORT,NORMAL,Y2019,30896881.2
Kazakhstan,Belarus,TOTAL,IMPORT,NORMAL,Y2019,591568571.43
Kazakhstan,Belgium,TOTAL,IMPORT,NORMAL,Y2019,125976115.56
Kazakhstan,Bosnia and Herzegovina,TOTAL,IMPORT,NORMAL,Y2019,384321.17
Kazakhstan,Brazil,TOTAL,IMPORT,NORMAL,Y2019,228502955.09
Kazakhstan,Bulgaria,TOTAL,IMPORT,NORMAL,Y2019,43565255.01
Kazakhstan,Canada,TOTAL,IMPORT,NORMAL,Y2019,177225201.17
Kazakhstan,Chile,TOTAL,IMPORT,NORMAL,Y2019,10228254.88
Kazakhstan,China,TOTAL,IMPORT,NORMAL,Y2019,6061273061.46
Kazakhstan,Colombia,TOTAL,IMPORT,NORMAL,Y2019,3634443.69
Kazakhstan,Commonwealth of Independent States,TOTAL,IMPORT,NORMAL,Y2019,15414988750.0
Kazakhstan,Croatia,TOTAL,IMPORT,NORMAL,Y2019,8096724.63
Kazakhstan,Cyprus,TOTAL,IMPORT,NORMAL,Y2019,2782105.82
Kazakhstan,Czechia,TOTAL,IMPORT,NORMAL,Y2019,274289437.86
Kazakhstan,Denmark,TOTAL,IMPORT,NORMAL,Y2019,40588550.95
Kazakhstan,Egypt,TOTAL,IMPORT,NORMAL,Y2019,75278260.63
Kazakhstan,Estonia,TOTAL,IMPORT,NORMAL,Y2019,10550696.58
Kazakhstan,Eurasian Economic Union,TOTAL,IMPORT,NORMAL,Y2019,13658410000.0
Kazakhstan,European Union - 27 countries (from 2020),TOTAL,IMPORT,NORMAL,Y2019,5976235881.42
Kazakhstan,Finland,TOTAL,IMPORT,NORMAL,Y2019,152447051.3
Kazakhstan,France,TOTAL,IMPORT,NORMAL,Y2019,625440324.86
Kazakhstan,Germany,TOTAL,IMPORT,NORMAL,Y2019,1335003851.88
Kazakhstan,Greece,TOTAL,IMPORT,NORMAL,Y2019,16357297.6
Kazakhstan,Hong Kong,TOTAL,IMPORT,NORMAL,Y2019,3541402.05
Kazakhstan,Hungary,TOTAL,IMPORT,NORMAL,Y2019,81828293.46
Kazakhstan,Iceland,TOTAL,IMPORT,NORMAL,Y2019,3598167.72
Kazakhstan,India,TOTAL,IMPORT,NORMAL,Y2019,261236847.79
Kazakhstan,Indonesia,TOTAL,IMPORT,NORMAL,Y2019,246641124.89
Kazakhstan,Iran,TOTAL,IMPORT,NORMAL,Y2019,72809464.18
Kazakhstan,Ireland,TOTAL,IMPORT,NORMAL,Y2019,102080717.92
Kazakhstan,Israel,TOTAL,IMPORT,NORMAL,Y2019,42598759.94
Kazakhstan,Italy,TOTAL,IMPORT,NORMAL,Y2019,1410485062.37
Kazakhstan,Japan,TOTAL,IMPORT,NORMAL,Y2019,532574091.45
Kazakhstan,Kyrgyzstan,TOTAL,IMPORT,NORMAL,Y2019,281863839.29
Kazakhstan,Latvia,TOTAL,IMPORT,NORMAL,Y2019,33079425.32
Kazakhstan,Liechtenstein,TOTAL,IMPORT,NORMAL,Y2019,768182.36
Kazakhstan,Lithuania,TOTAL,IMPORT,NORMAL,Y2019,84732285.5
Kazakhstan,Luxembourg,TOTAL,IMPORT,NORMAL,Y2019,4258920.53
Kazakhstan,Malaysia,TOTAL,IMPORT,NORMAL,Y2019,91815093.03
Kazakhstan,Malta,TOTAL,IMPORT,NORMAL,Y2019,247259.3
Kazakhstan,Mexico,TOTAL,IMPORT,NORMAL,Y2019,57990368.62
Kazakhstan,Moldova,TOTAL,IMPORT,NORMAL,Y2019,8258885.68
Kazakhstan,Mongolia,TOTAL,IMPORT,NORMAL,Y2019,1561154.19
Kazakhstan,Montenegro,TOTAL,IMPORT,NORMAL,Y2019,13469.78
Kazakhstan,Morocco,TOTAL,IMPORT,NORMAL,Y2019,10702172.89
Kazakhstan,Netherlands,TOTAL,IMPORT,NORMAL,Y2019,211912029.21
Kazakhstan,New Zealand,TOTAL,IMPORT,NORMAL,Y2019,3556960.54
