REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Kyrgyzstan,Afghanistan,TOTAL,IMPORT,NORMAL,Y2019,21669.64
Kyrgyzstan,Africa,TOTAL,IMPORT,NORMAL,Y2019,18253656.25
Kyrgyzstan,Albania,TOTAL,IMPORT,NORMAL,Y2019,18440.18
Kyrgyzstan,Algeria,TOTAL,IMPORT,NORMAL,Y2019,49686.61
Kyrgyzstan,America,TOTAL,IMPORT,NORMAL,Y2019,99051946.43
Kyrgyzstan,Anguilla,TOTAL,IMPORT,NORMAL,Y2019,34553.57
Kyrgyzstan,Argentina,TOTAL,IMPORT,NORMAL,Y2019,702783.04
Kyrgyzstan,Armenia,TOTAL,IMPORT,NORMAL,Y2019,529966.96
Kyrgyzstan,Asia,TOTAL,IMPORT,NORMAL,Y2019,1910643133.93
Kyrgyzstan,Australia,TOTAL,IMPORT,NORMAL,Y2019,1591480.36
Kyrgyzstan,Australia and Oceania,TOTAL,IMPORT,NORMAL,Y2019,1819832.14
Kyrgyzstan,Austria,TOTAL,IMPORT,NORMAL,Y2019,9802458.04
Kyrgyzstan,Azerbaijan,TOTAL,IMPORT,NORMAL,Y2019,1922134.82
Kyrgyzstan,Bahrain,TOTAL,IMPORT,NORMAL,Y2019,13.39
Kyrgyzstan,Bangladesh,TOTAL,IMPORT,NORMAL,Y2019,3158214.29
Kyrgyzstan,Barbados,TOTAL,IMPORT,NORMAL,Y2019,784.82
Kyrgyzstan,Belarus,TOTAL,IMPORT,NORMAL,Y2019,41498342.86
Kyrgyzstan,Belgium,TOTAL,IMPORT,NORMAL,Y2019,7594497.32
Kyrgyzstan,Bosnia and Herzegovina,TOTAL,IMPORT,NORMAL,Y2019,116648.21
Kyrgyzstan,Botswana,TOTAL,IMPORT,NORMAL,Y2019,3394.64
Kyrgyzstan,Bouvet,TOTAL,IMPORT,NORMAL,Y2019,0.0
Kyrgyzstan,Brazil,TOTAL,IMPORT,NORMAL,Y2019,256454.46
Kyrgyzstan,British virgin islands,TOTAL,IMPORT,NORMAL,Y2019,28550.89
Kyrgyzstan,Brunei,TOTAL,IMPORT,NORMAL,Y2019,0.0
Kyrgyzstan,Bulgaria,TOTAL,IMPORT,NORMAL,Y2019,10627010.71
Kyrgyzstan,Cambodia,TOTAL,IMPORT,NORMAL,Y2019,602175.0
Kyrgyzstan,Canada,TOTAL,IMPORT,NORMAL,Y2019,5665414.29
Kyrgyzstan,Chad,TOTAL,IMPORT,NORMAL,Y2019,0.0
Kyrgyzstan,Chile,TOTAL,IMPORT,NORMAL,Y2019,396483.93
Kyrgyzstan,China,TOTAL,IMPORT,NORMAL,Y2019,1549080810.71
Kyrgyzstan,Colombia,TOTAL,IMPORT,NORMAL,Y2019,3522.32
Kyrgyzstan,Commonwealth of Independent States,TOTAL,IMPORT,NORMAL,Y2019,2115670150.0
Kyrgyzstan,Costa Rica,TOTAL,IMPORT,NORMAL,Y2019,143125.0
Kyrgyzstan,Croatia,TOTAL,IMPORT,NORMAL,Y2019,198106.25
