REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Uzbekistan,Afghanistan,TOTAL,IMPORT,NORMAL,Y2019,2662008.93
Uzbekistan,Albania,TOTAL,IMPORT,NORMAL,Y2019,31232.14
Uzbekistan,Algeria,TOTAL,IMPORT,NORMAL,Y2019,169.64
Uzbekistan,American Samoa,TOTAL,IMPORT,NORMAL,Y2019,90071.43
Uzbekistan,Andorra,TOTAL,IMPORT,NORMAL,Y2019,36794.64
Uzbekistan,Angola,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Anguilla,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Antigua and Barbuda,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Argentina,TOTAL,IMPORT,NORMAL,Y2019,12945785.71
Uzbekistan,Armenia,TOTAL,IMPORT,NORMAL,Y2019,2242633.93
Uzbekistan,Aruba,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Australia,TOTAL,IMPORT,NORMAL,Y2019,2561160.71
Uzbekistan,Austria,TOTAL,IMPORT,NORMAL,Y2019,111939151.79
Uzbekistan,Azerbaijan,TOTAL,IMPORT,NORMAL,Y2019,19371767.86
Uzbekistan,Bahamas,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Bahrain,TOTAL,IMPORT,NORMAL,Y2019,112062.5
Uzbekistan,Bangladesh,TOTAL,IMPORT,NORMAL,Y2019,15112571.43
Uzbekistan,Barbados,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Belarus,TOTAL,IMPORT,NORMAL,Y2019,253487776.79
Uzbekistan,Belgium,TOTAL,IMPORT,NORMAL,Y2019,77131535.71
Uzbekistan,Belize,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Benin,TOTAL,IMPORT,NORMAL,Y2019,32178.57
Uzbekistan,Bermuda,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Bhutan,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Bolivia,TOTAL,IMPORT,NORMAL,Y2019,53.57
Uzbekistan,Botswana,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Bouvet Island,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Brazil,TOTAL,IMPORT,NORMAL,Y2019,103128705.36
Uzbekistan,British Indian Ocean Territory,TOTAL,IMPORT,NORMAL,Y2019,13098.21
Uzbekistan,British Virgin Islands,TOTAL,IMPORT,NORMAL,Y2019,1224571.43
Uzbekistan,Brunei Darussalam,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Bulgaria,TOTAL,IMPORT,NORMAL,Y2019,21208214.29
Uzbekistan,Burkina Faso,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Burundi,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Cabo Verde,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Cambodia,TOTAL,IMPORT,NORMAL,Y2019,49517.86
Uzbekistan,Cameroon,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Canada,TOTAL,IMPORT,NORMAL,Y2019,8394098.21
Uzbekistan,Cayman Islands,TOTAL,IMPORT,NORMAL,Y2019,223214.29
Uzbekistan,Central African Republic,TOTAL,IMPORT,NORMAL,Y2019,26.79
Uzbekistan,Chad,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Chile,TOTAL,IMPORT,NORMAL,Y2019,351678.57
Uzbekistan,China,TOTAL,IMPORT,NORMAL,Y2019,4561276035.71
Uzbekistan,Christmas Island,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Cocos Islands,TOTAL,IMPORT,NORMAL,Y2019,705.36
Uzbekistan,Colombia,TOTAL,IMPORT,NORMAL,Y2019,15928.57
Uzbekistan,Comoros,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Congo,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Cook Islands,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Costa Rica,TOTAL,IMPORT,NORMAL,Y2019,94901.79
Uzbekistan,Croatia,TOTAL,IMPORT,NORMAL,Y2019,337089.29
Uzbekistan,Cuba,TOTAL,IMPORT,NORMAL,Y2019,10528205.36
Uzbekistan,Cyprus,TOTAL,IMPORT,NORMAL,Y2019,950258.93
Uzbekistan,Czechia,TOTAL,IMPORT,NORMAL,Y2019,148400241.07
Uzbekistan,Côte d’Ivoire,TOTAL,IMPORT,NORMAL,Y2019,76151.79
Uzbekistan,Democratic People's Republic of Korea,TOTAL,IMPORT,NORMAL,Y2019,3553.57
Uzbekistan,Democratic Republic of the Congo,TOTAL,IMPORT,NORMAL,Y2019,3116.07
Uzbekistan,Denmark,TOTAL,IMPORT,NORMAL,Y2019,55249401.79
Uzbekistan,Djibouti,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Dominica,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Dominican Republic,TOTAL,IMPORT,NORMAL,Y2019,28660.71
Uzbekistan,Ecuador,TOTAL,IMPORT,NORMAL,Y2019,28104776.79
Uzbekistan,Egypt,TOTAL,IMPORT,NORMAL,Y2019,15067937.5
Uzbekistan,El Salvador,TOTAL,IMPORT,NORMAL,Y2019,37330.36
Uzbekistan,Equatorial Guinea,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Eritrea,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Estonia,TOTAL,IMPORT,NORMAL,Y2019,42320964.29
Uzbekistan,Eswatini,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Ethiopia,TOTAL,IMPORT,NORMAL,Y2019,2651.79
Uzbekistan,European Union - 27 countries (from 2020),TOTAL,IMPORT,NORMAL,Y2019,2966077830.36
Uzbekistan,Faroe Islands,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,Fiji,TOTAL,IMPORT,NORMAL,Y2019,8.93
Uzbekistan,Finland,TOTAL,IMPORT,NORMAL,Y2019,40044214.29
Uzbekistan,France,TOTAL,IMPORT,NORMAL,Y2019,125451214.29
Uzbekistan,French Guiana,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,French Polynesia,TOTAL,IMPORT,NORMAL,Y2019,0.0
Uzbekistan,French Southern Territories,TOTAL,IMPORT,NORMAL,Y2019,0.0
