REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Malta","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",370311
"Cyprus","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",5462338
"Croatia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",6134229
"Luxembourg","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",7755941
"Greece","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",11891922
"Portugal","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",14246573
"Ireland (Eire)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",21884287
"Bulgaria","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",28798835
"Slovenia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",55557208
"Estonia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",62472238
"Romania","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",72782292
"Slovakia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",85895451
"Denmark","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",90811132
"Sweden","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",117324052
"Hungary","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",126514232
"Austria","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",143872804
"Latvia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",147687389
"Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",167409100
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",254370449
"Czechia","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",267243852
"Finland","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",267842397
"Lithuania","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",324608174
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",331013427
"Netherlands","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",484150623
"Italy (incl. San Marino 'SM' -> 1993)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",506666071
"Poland","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",581551172
"Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",1829054101
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",4722210804
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",4728345033
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",6013370600
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Aug. 2020",6013370600
