Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
192,Kuba,Куба,Cuba,1.5,0.7,3.7,8.8,10.5,0.2,4.6,0.4,2.5,0.7,0.1,0.1,5.8,2.1
384,Kot D'ivuar,Кот-д'Ивуар,Côte d’Ivoire,0.0,2.2,0.1,0.0,0.2,0.1,1.0,2.5,8.3,0.8,0.5,4.8,7.8,26.7
598,Papua - Yangi Gvineya,Папуа-Новая Гвинея,Papua New Guinea,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
798,Tuvalu,Тувалу,Tuvalu,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.0,0.0,0.0,0.0,1.9,0.0,0.0
148,Chad,Чад,Chad,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
008,Albaniya,Албания,Albania,2.3,0.2,0.1,1.1,1.1,0.6,1.2,2.2,16.3,5.5,585.8,2643.3,3196.8,543.8
196,Kipr,Кипр,Cyprus,1406.8,2739.3,3615.7,6039.9,2469.2,1374.2,1071.3,2052.0,2500.2,3306.0,10897.6,3473.6,2874.1,55501.0
388,Yamayka,Ямайка,Jamaica,0.0,0.0,0.0,0.0,6.0,0.0,0.8,0.1,0.2,6.3,0.3,119.9,1.9,2.3
016,Amerika Samoa,Американское Самоа,American Samoa,0.3,0.0,0.0,6.2,1.1,2.0,1.5,2.7,67.6,50.4,1.6,26.5,1.4,39.7
204,Benin,Бенин,Benin,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.3,0.5,0.1,0.2,0.5,0.2
404,Keniya,Кения,Kenya,136.1,889.9,1210.9,490.4,26.3,2091.4,1.1,79.4,19.6,3.9,0.3,204.8,7.2,118.0
600,Paragvay,Парагвай,Paraguay,0.0,0.4,0.1,2.6,10.3,0.8,6.0,0.1,0.7,0.3,107.8,333.0,0.3,0.1
800,Uganda,Уганда,Uganda,0.0,0.0,0.1,0.0,1.4,206.0,0.6,0.8,0.1,0.1,1.0,0.4,0.1,8.2
162,Rojdestva Oroli,остров Рождества,Christmas Island,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Mavritaniya,Мавритания,Mauritania,2.1,18.3,0.0,1.0,53.2,2.1,0.4,0.1,0.2,1.1,0.1,0.0,0.0,79.3
744,Svalbard va Yan-Mayen orollari,Острова Свальбард и Ян-Майен,Svalbard and Jan Mayen Islands,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
